atDate,close,adjClose,monthReturnSign,yearReturnSign
2001-02-28,7,0.73799,0,0
2001-03-30,6.9,0.72745,-1,0
2001-04-27,7.55,0.79598,1,0
2001-05-31,7.75,0.81706,1,0
2001-06-29,7.4,0.78016,-1,0
2001-07-31,8.05,0.84869,1,0
2001-08-31,7.7,0.81179,-1,0
2001-09-28,7.8,0.83255,1,0
2001-10-31,7.65,0.81654,-1,0
2001-11-30,7.35,0.78452,-1,0
2001-12-31,7.35,0.78452,0,0
2002-01-31,8,0.8539,1,0
2002-02-28,8.35,0.89126,1,1
2002-03-28,9.7,1.03535,1,1
2002-04-30,10.3,1.09939,1,1
2002-05-31,10.55,1.14224,1,1
2002-06-28,10.45,1.13142,-1,1
2002-07-31,10.45,1.13142,0,1
2002-08-30,10.85,1.17472,1,1
2002-09-30,10.85,1.1874,1,1
2002-10-31,9.75,1.06702,-1,1
2002-11-29,9.55,1.04513,-1,1
2002-12-31,10.15,1.1108,1,1
2003-01-30,10.05,1.09985,-1,1
2003-02-28,10.95,1.19835,1,1
2003-03-31,10.4,1.13816,-1,1
2003-04-30,10.25,1.12174,-1,1
2003-05-30,10.9,1.22745,1,1
2003-06-30,11.5,1.29502,1,1
2003-07-31,13.45,1.51461,1,1
2003-08-29,14.6,1.64411,1,1
2003-09-30,13.2,1.52174,-1,1
2003-10-31,14.65,1.6889,1,1
2003-11-28,16,1.84454,1,1
2003-12-31,15.2,1.75231,-1,1
2004-01-30,15.8,1.82148,1,1
2004-02-27,15.75,1.81572,-1,1
2004-03-31,3.325,1.91659,1,1
2004-04-30,2.825,1.78725,-1,1
2004-05-31,3.35,2.11939,1,1
2004-06-30,3.3,2.08776,-1,1
2004-07-30,3.75,2.37245,1,1
2004-08-31,3.65,2.30919,-1,1
2004-09-30,4.075,2.63543,1,1
2004-10-29,4,2.58693,-1,1
2004-11-30,4.425,2.86179,1,1
2004-12-31,4.175,2.70011,-1,1
2005-01-31,4.125,2.66777,-1,1
2005-02-28,4.525,2.92646,1,1
2005-03-31,4.2,2.71628,-1,1
2005-04-29,4.225,2.73244,1,1
2005-05-31,4.3,2.83275,1,1
2005-06-30,4.65,3.06332,1,1
2005-07-29,5.3,3.49153,1,1
2005-08-31,5.55,3.65622,1,1
2005-09-30,5.65,3.79039,1,1
2005-10-31,5.05,3.38787,-1,1
2005-11-30,5.15,3.45496,1,1
2005-12-30,5.25,3.52205,1,1
2006-01-27,6.55,4.39417,1,1
2006-02-28,6.55,4.39417,0,1
2006-03-31,6,4.0252,-1,1
2006-04-28,6.25,4.19291,1,1
2006-05-30,5.95,4.05451,-1,1
2006-06-30,6.2,4.22487,1,1
2006-07-31,6.61,4.50426,1,1
2006-08-31,6.8,4.63373,1,1
2006-09-29,6.48,4.50045,-1,1
2006-10-31,6.54,4.54212,1,1
2006-11-30,6.86,4.76437,1,1
2006-12-29,7.39,5.13246,1,1
2007-01-31,6.64,4.61158,-1,1
2007-02-28,6.3,4.37544,-1,-1
2007-03-30,6.85,4.75742,1,1
2007-04-30,6.8,4.7227,-1,1
2007-05-31,7.39,5.23615,1,1
2007-06-29,8.86,6.27771,1,1
2007-07-31,9.38,6.64615,1,1
2007-08-31,9.53,6.75243,1,1
2007-09-28,13.06,9.37648,1,1
2007-10-31,16.16,11.60213,1,1
2007-11-30,14.36,10.30982,-1,1
2007-12-31,13.28,9.53443,-1,1
2008-01-31,10.96,7.86877,-1,1
2008-02-29,13.42,9.63494,1,1
2008-03-31,11.5,8.25647,-1,1
2008-04-30,13.76,9.87904,1,1
2008-05-30,13.6,9.87316,-1,1
2008-06-30,13.42,9.74249,-1,1
2008-07-31,11.74,8.52286,-1,1
2008-08-29,12.06,8.75517,1,1
2008-09-30,8.85,6.55005,-1,-1
2008-10-31,6.3,4.66275,-1,-1
2008-11-28,6.25,4.62574,-1,-1
2008-12-31,7.24,5.35846,1,-1
2009-01-30,6.8,5.03281,-1,-1
2009-02-27,6.8,5.03281,0,-1
2009-03-31,7.68,5.68411,1,-1
2009-04-30,8.69,6.43163,1,-1
2009-05-29,10.2,7.70344,1,-1
2009-06-30,9.61,7.25785,-1,-1
2009-07-31,10.42,7.86959,1,-1
2009-08-31,10.18,7.68833,-1,-1
