atDate,close,adjClose,monthReturnSign,yearReturnSign
1994-02-28,2.15,0.32151,0,0
1994-03-31,1.98,0.29609,-1,0
1994-04-29,1.9,0.28413,-1,0
1994-05-31,1.48,0.22132,-1,0
1994-06-30,1.28,0.19141,-1,0
1994-07-29,1.46,0.21833,1,0
1994-08-31,1.385,0.20711,-1,0
1994-09-30,1.52,0.23138,1,0
1994-10-31,1.44,0.21921,-1,0
1994-11-30,1.16,0.17658,-1,0
1994-12-30,0.98,0.14918,-1,0
1995-01-30,0.78,0.12013,-1,0
1995-02-28,0.65,0.10011,-1,-1
1995-03-31,1.04,0.16018,1,-1
1995-04-28,0.95,0.14632,-1,-1
1995-05-31,1.09,0.16788,1,-1
1995-06-30,1.14,0.17558,1,-1
1995-07-31,1.21,0.18636,1,-1
1995-08-31,1.16,0.18313,-1,-1
1995-09-29,0.95,0.14997,-1,-1
1995-10-31,0.97,0.15313,1,-1
1995-11-30,0.88,0.13892,-1,-1
1995-12-29,0.74,0.11885,-1,-1
1996-01-31,0.75,0.12045,1,1
1996-02-29,0.94,0.15097,1,1
1996-03-29,0.5,0.0803,-1,-1
1996-04-30,0.465,0.07468,-1,-1
1996-05-31,0.435,0.06986,-1,-1
1996-06-28,0.405,0.06505,-1,-1
1996-07-31,0.4,0.06424,-1,-1
1996-08-30,0.32,0.05139,-1,-1
1996-09-30,0.405,0.06505,1,-1
1996-10-31,0.43,0.06906,1,-1
1996-11-29,0.455,0.07308,1,-1
1996-12-31,0.59,0.09476,1,-1
1997-01-31,1.06,0.17024,1,1
1997-02-28,1.3,0.20879,1,1
1997-03-27,1.38,0.22163,1,1
1997-04-30,2.125,0.34129,1,1
1997-05-30,2.375,0.38144,1,1
1997-06-27,2.35,0.37742,-1,1
1997-07-31,2.55,0.40954,1,1
1997-08-29,3.075,0.49386,1,1
1997-09-30,3.575,0.57416,1,1
1997-10-31,2.625,0.42159,-1,1
1997-11-28,2.125,0.34129,-1,1
1997-12-31,2.075,0.33326,-1,1
1998-01-27,1.7,0.27303,-1,1
1998-02-27,2.525,0.40553,1,1
1998-03-31,3.225,0.51795,1,1
1998-04-30,3.325,0.53401,1,1
1998-05-29,2.725,0.43765,-1,1
1998-06-30,2.325,0.37341,-1,-1
1998-07-31,1.74,0.28168,-1,-1
1998-08-31,1.39,0.22502,-1,-1
1998-09-30,2.3,0.37233,1,-1
1998-10-30,2.6,0.4209,1,-1
1998-11-30,2.425,0.39257,-1,1
