atDate,close,adjClose,monthReturnSign,yearReturnSign
1994-01-31,48.5,14.08788,0,0
1994-02-28,44.5,12.92599,-1,0
1994-03-31,39.5,11.47363,-1,0
1994-04-29,36.5,10.60222,-1,0
1994-05-31,39,11.55208,1,0
1994-06-30,33.75,9.99699,-1,0
1994-07-29,37.9,11.22625,1,0
1994-08-31,39.1,11.5817,1,0
1994-09-30,37.6,11.13739,-1,0
1994-10-31,37.2,11.10035,-1,0
1994-11-30,32.2,9.60837,-1,0
1994-12-30,31.5,9.39949,-1,0
1995-01-30,27.3,8.14623,-1,-1
1995-02-28,33.7,10.05596,1,-1
1995-03-31,33.7,10.05596,0,-1
1995-04-28,32.6,9.72773,-1,-1
1995-05-31,38.1,11.61808,1,1
1995-06-30,38.3,11.67907,1,1
1995-07-31,38.8,11.83154,1,1
1995-08-31,38.4,11.70956,-1,1
1995-09-29,42.1,12.83783,1,1
1995-10-31,43.6,13.3893,1,1
1995-11-30,44,13.51214,1,1
1995-12-29,47.1,14.46413,1,1
1996-01-31,57.5,17.65791,1,1
1996-02-29,53.75,16.50631,-1,1
1996-03-29,54.5,16.73663,1,1
1996-04-30,55.25,16.96695,1,1
1996-05-31,57.25,17.88631,1,1
1996-06-28,55.75,17.41767,-1,1
1996-07-31,52.75,16.4804,-1,1
1996-08-30,54.25,16.94903,1,1
1996-09-30,59.5,18.58926,1,1
1996-10-31,62,19.4744,1,1
1996-11-29,68,21.35902,1,1
1996-12-31,68.75,21.59459,1,1
1997-01-31,72.25,22.69395,1,1
1997-02-28,74,23.24364,1,1
1997-03-27,68.25,21.43754,-1,1
1997-04-30,68,21.35902,-1,1
1997-05-30,79.25,25.22799,1,1
1997-06-27,76.5,24.35257,-1,1
1997-07-31,86,27.37674,1,1
1997-08-29,82,26.1034,-1,1
1997-09-30,87,27.69508,1,1
1997-10-31,53.75,17.18957,-1,-1
1997-11-28,54.5,17.42942,1,-1
1997-12-31,50.75,16.23015,-1,-1
1998-01-27,39.5,12.63233,-1,-1
1998-02-27,54.25,17.34947,1,-1
1998-03-31,55,17.58932,1,-1
1998-04-30,51.5,16.47,-1,-1
1998-05-29,41.9,13.7799,-1,-1
1998-06-30,38.1,12.53017,-1,-1
1998-07-31,33.6,11.05023,-1,-1
1998-08-31,30,9.86627,-1,-1
1998-09-30,35.9,11.80664,1,-1
1998-10-30,53,17.56119,1,1
1998-11-30,55.75,18.47238,1,1
1998-12-31,55.75,18.47238,0,1
1999-01-29,53.75,17.8097,-1,1
1999-02-26,52.75,17.47835,-1,1
1999-03-31,59,19.54925,1,1
1999-04-30,70.5,23.3597,1,1
1999-05-31,63.75,21.40111,-1,1
1999-06-30,69,23.16355,1,1
1999-07-30,68,22.82785,-1,1
1999-08-31,67.5,22.66,-1,1
1999-09-30,64.75,21.73681,-1,1
1999-10-29,70.5,23.79074,1,1
1999-11-30,87.25,29.44316,1,1
1999-12-30,98.75,33.32391,1,1
2000-01-31,98.25,33.15519,-1,1
2000-02-29,103.5,34.92684,1,1
2000-03-31,116.5,39.31378,1,1
2000-04-28,93,31.38353,-1,1
2000-05-31,71.25,24.35668,-1,1
2000-06-30,86.25,29.4844,1,1
2000-07-31,92,31.45002,1,1
2000-08-31,101.5,34.69758,1,1
2000-09-29,94.25,32.21918,-1,1
2000-10-31,86.25,29.60536,-1,1
2000-11-30,87.75,30.12024,1,1
2000-12-29,99.75,34.23925,1,1
2001-01-31,103.5,35.52644,1,1
2001-02-28,94.5,32.43718,-1,-1
2001-03-30,81.75,28.06074,-1,-1
2001-04-27,87,29.8628,1,-1
2001-05-31,85,29.57388,-1,1
2001-06-29,85,29.57388,0,1
2001-07-31,77.25,26.87744,-1,-1
2001-08-31,72,25.05081,-1,-1
2001-09-28,60.75,21.13662,-1,-1
2001-10-31,66,23.1066,1,-1
2001-11-30,75.5,26.43255,1,-1
2001-12-31,81,28.3581,1,-1
2002-01-31,74.75,26.16998,-1,-1
2002-02-28,65,22.7565,-1,-1
2002-03-28,69.75,24.41948,1,-1
2002-04-30,74.25,25.99493,1,-1
2002-05-31,72.25,25.71018,-1,-1
