atDate,close,adjClose,monthReturnSign,yearReturnSign
1996-02-29,2.125,1.20743,0,0
1996-03-29,2.025,1.15061,-1,0
1996-04-30,2.15,1.22163,1,0
1996-05-31,2.1,1.19322,-1,0
1996-06-28,2.125,1.20743,1,0
1996-07-31,1.7,0.96594,-1,0
1996-08-30,1.81,1.02844,1,0
1996-09-30,1.63,0.92617,-1,0
1996-10-31,1.71,0.97162,1,0
1996-11-29,1.97,1.11936,1,0
1996-12-31,2.025,1.15061,1,0
1997-01-31,1.7,0.96594,-1,0
1997-02-28,1.9,1.07958,1,-1
1997-03-27,1.69,0.96026,-1,-1
1997-04-30,1.89,1.0739,1,-1
1997-05-30,1.84,1.04549,-1,-1
1997-06-27,1.93,1.11351,1,-1
1997-07-31,1.78,1.02697,-1,1
1997-08-29,1.77,1.0212,-1,-1
1997-09-30,1.54,0.8885,-1,-1
1997-10-31,1.3,0.75003,-1,-1
1997-11-28,1.02,0.58849,-1,-1
1997-12-31,1.01,0.58272,-1,-1
1998-01-27,0.79,0.45579,-1,-1
1998-02-27,0.88,0.50771,1,-1
1998-03-31,0.92,0.53079,1,-1
1998-04-30,0.76,0.43848,-1,-1
1998-05-29,0.63,0.36348,-1,-1
1998-06-30,0.475,0.29134,-1,-1
1998-07-31,0.465,0.28521,-1,-1
1998-08-31,0.49,0.30054,1,-1
1998-09-30,0.6,0.36801,1,-1
1998-10-30,0.6,0.36801,0,-1
1998-11-30,0.55,0.33734,-1,-1
1998-12-31,0.7,0.42935,1,-1
1999-01-29,0.68,0.41708,-1,-1
1999-02-26,0.74,0.45388,1,-1
1999-03-31,0.71,0.43548,-1,-1
1999-04-30,0.56,0.34348,-1,-1
1999-05-31,0.54,0.33121,-1,-1
1999-06-30,0.69,0.42321,1,1
1999-07-30,0.6,0.36801,-1,1
1999-08-31,0.64,0.39255,1,1
1999-09-30,0.6,0.36801,-1,0
1999-10-29,0.54,0.33121,-1,-1
1999-11-30,0.49,0.30054,-1,-1
1999-12-30,0.55,0.33734,1,-1
2000-01-31,0.47,0.28828,-1,-1
2000-02-29,0.425,0.26068,-1,-1
2000-03-31,0.54,0.33121,1,-1
2000-04-28,0.51,0.31281,-1,-1
2000-05-31,0.54,0.33121,1,0
2000-06-30,0.51,0.33807,1,-1
2000-07-31,0.67,0.44413,1,1
2000-08-31,0.85,0.56345,1,1
2000-09-29,0.82,0.54356,-1,1
2000-10-31,0.95,0.62974,1,1
2000-11-30,0.89,0.58997,-1,1
2000-12-29,0.9,0.59659,1,1
2001-01-31,0.86,0.57008,-1,1
2001-02-28,1.09,0.72254,1,1
2001-03-30,1.35,0.89489,1,1
2001-04-27,1.24,0.82198,-1,1
2001-05-31,1.15,0.79267,-1,1
2001-06-29,1.16,0.79956,1,1
2001-07-31,1.05,0.72374,-1,1
2001-08-31,1.05,0.72374,0,1
2001-09-28,1.08,0.74442,1,1
2001-10-31,1.15,0.79267,1,1
2001-11-30,1.31,0.90295,1,1
2001-12-31,1.31,0.90295,0,1
2002-01-31,1.21,0.83402,-1,1
2002-02-28,1.25,0.86159,1,1
2002-03-28,1.42,0.97877,1,1
2002-04-30,1.66,1.1442,1,1
2002-05-31,2,1.37855,1,1
2002-06-28,2.375,1.68843,1,1
2002-07-31,2.3,1.63512,-1,1
2002-08-30,2,1.42184,-1,1
2002-09-30,2.125,1.5107,1,1
2002-10-31,2.125,1.5107,0,1
2002-11-29,1.86,1.32231,-1,1
2002-12-31,2.025,1.43961,1,1
2003-01-30,2.15,1.52848,1,1
2003-02-28,1.88,1.33653,-1,1
2003-03-31,1.94,1.37918,1,1
2003-04-30,1.41,1.0024,-1,-1
2003-05-30,1.57,1.11614,1,-1
2003-06-30,1.43,1.06686,-1,-1
2003-07-31,1.56,1.16384,1,-1
2003-08-29,1.46,1.08924,-1,-1
2003-09-30,1.76,1.31306,1,-1
2003-10-31,1.75,1.30559,-1,-1
2003-11-28,1.75,1.30559,0,-1
2003-12-31,1.82,1.35782,1,-1
2004-01-30,2.4,1.79053,1,1
2004-02-27,2.35,1.75323,-1,1
2004-03-31,2.225,1.65997,-1,1
2004-04-30,2.25,1.67862,1,1
2004-05-31,2.125,1.65057,-1,1
2004-06-30,1.89,1.46804,-1,1
2004-07-30,2.075,1.61173,1,1
2004-08-31,1.63,1.26609,-1,1
2004-09-30,1.65,1.28162,1,-1
2004-10-29,1.64,1.27385,-1,-1
2004-11-30,1.78,1.3826,1,1
2004-12-31,1.68,1.30492,-1,-1
2005-01-31,1.8,1.39813,1,-1
2005-02-28,1.88,1.46027,1,-1
2005-03-31,1.66,1.28939,-1,-1
2005-04-29,1.7,1.32046,1,-1
2005-05-31,2.125,1.65057,1,0
2005-06-30,2.1,1.70067,1,1
2005-07-29,2.4,1.94362,1,1
2005-08-31,2.775,2.24731,1,1
2005-09-30,2.8,2.26755,1,1
2005-10-31,2.65,2.14608,-1,1
2005-11-30,3.35,2.71297,1,1
2005-12-30,3.825,3.09764,1,1
2006-01-27,4.65,3.76576,1,1
2006-02-28,4.625,3.80752,1,1
2006-03-31,4.45,3.66345,-1,1
2006-04-28,4.95,4.07507,1,1
2006-05-30,4.075,3.35473,-1,1
2006-06-30,4.75,4.00119,1,1
2006-07-31,4.6,3.87484,-1,1
2006-08-31,4.76,4.00961,1,1
2006-09-29,5.82,4.90251,1,1
2006-10-31,5.87,4.94463,1,1
2006-11-30,6.54,5.50901,1,1
2006-12-29,7.6,6.4019,1,1
2007-01-31,8.84,7.51802,1,1
2007-02-28,8.45,7.18634,-1,1
2007-03-30,7.53,6.40392,-1,1
2007-04-30,7.76,6.59953,1,1
2007-05-31,9.07,7.71362,1,1
2007-06-29,9.09,7.8268,1,1
2007-07-31,9.27,7.98179,1,1
2007-08-31,11.2,9.64358,1,1
2007-09-28,12.14,10.45295,1,1
2007-10-31,11.8,10.1602,-1,1
2007-11-30,11.12,9.5747,-1,1
2007-12-31,12.6,10.84903,1,1
2008-01-31,10.94,9.41971,-1,1
2008-02-29,9.95,8.63764,-1,1
2008-03-31,10.2,8.85466,1,1
2008-04-30,10.4,9.02829,1,1
2008-05-30,9.35,8.21637,-1,1
2008-06-30,9.64,8.47121,1,1
2008-07-31,9.4,8.2603,-1,1
2008-08-29,9.37,8.23394,-1,-1
2008-09-30,8.99,7.90001,-1,-1
2008-10-31,8.1,7.11792,-1,-1
2008-11-28,9,7.9088,1,-1
2008-12-31,8.98,7.89123,-1,-1
2009-01-30,9.01,7.91759,1,-1
2009-02-27,8.6,7.5573,-1,-1
2009-03-31,8.96,7.87365,1,-1
2009-04-30,9.48,8.3306,1,-1
2009-05-29,11.6,10.19357,1,1
2009-06-30,12.78,11.40811,1,1
2009-07-31,14.36,12.8185,1,1
2009-08-31,13.88,12.39003,-1,1
2009-09-30,16,14.28245,1,1
2009-10-30,17.4,15.53217,1,1
2009-11-30,19.2,17.13895,1,1
2009-12-31,19.2,17.13895,0,1
2010-01-29,16.8,14.99658,-1,1
2010-02-26,18.02,16.08561,1,1
2010-03-31,18.36,16.38912,1,1
2010-04-30,19.42,17.33533,1,1
2010-05-31,17.9,15.9785,-1,1
2010-06-30,19.22,17.42398,1,1
2010-07-30,19.7,17.85913,1,1
2010-08-31,19.66,17.82286,-1,1
2010-09-30,21.4,19.40027,1,1
2010-10-29,21.1,19.1283,-1,1
2010-11-30,19.22,17.42398,-1,1
2010-12-31,19.9,18.04044,1,1
2011-01-31,19.08,17.29706,-1,1
2011-02-28,17.5,15.86471,-1,-1
2011-03-31,19.02,17.24267,1,1
2011-04-29,20.6,18.67502,1,1
2011-05-31,23.75,21.53067,1,1
2011-06-30,24.05,22.11098,1,1
2011-07-29,24.2,22.24889,1,1
2011-08-31,21.95,20.1803,-1,1
2011-09-30,19.18,17.63362,-1,-1
2011-10-31,22.3,20.50208,1,1
2011-11-30,24.35,22.3868,1,1
2011-12-30,23.6,21.69727,-1,1
2012-01-31,22.65,20.82386,-1,1
2012-02-29,23.05,21.19161,1,1
2012-03-30,22.45,20.63998,-1,1
2012-04-30,20.7,19.03108,-1,1
2012-05-31,18.42,16.9349,-1,-1
2012-06-29,19.82,18.50575,1,-1
2012-07-31,19.24,17.96421,-1,-1
2012-08-31,22.95,21.42821,1,1
2012-09-28,23.35,21.80168,1,1
2012-10-31,23.05,21.52157,-1,1
2012-11-30,22.65,21.1481,-1,-1
2012-12-31,21.55,20.12104,-1,-1
2013-01-31,21.8,20.35446,1,-1
2013-02-28,20.35,19.00061,-1,-1
2013-03-28,20.25,18.90724,-1,-1
2013-04-30,21.45,20.02767,1,1
2013-05-31,19.98,18.65514,-1,1
2013-06-28,20.2,19.10066,1,1
2013-07-31,19.18,18.13617,-1,1
2013-08-30,19.2,18.15508,1,-1
2013-09-30,20.55,19.43161,1,-1
2013-10-31,21.9,20.70814,1,-1
2013-11-29,23,21.74828,1,1
2013-12-31,22.4,21.18093,-1,1
2014-01-30,20.1,19.0061,-1,-1
2014-02-28,21.75,20.5663,1,1
2014-03-31,22.25,21.03909,1,1
2014-04-30,21.55,20.37719,-1,1
2014-05-30,22.1,21.17137,1,1
2014-06-30,21.7,20.78818,-1,1
2014-07-31,22.05,21.12347,1,1
2014-08-29,21.75,20.83608,-1,1
2014-09-30,20.4,19.5428,-1,1
2014-10-31,19.28,18.46987,-1,-1
2014-11-28,18.44,17.66516,-1,-1
2014-12-31,17.72,16.97541,-1,-1
2015-01-30,19.14,18.33575,1,-1
2015-02-27,19.5,18.68062,1,-1
2015-03-31,16.68,15.97912,-1,-1
2015-04-30,16.38,15.69172,-1,-1
2015-05-29,16.46,15.76836,1,-1
2015-06-30,15.84,15.43396,-1,-1
2015-07-31,14.92,14.53754,-1,-1
2015-08-31,11.92,11.61444,-1,-1
2015-09-30,12.32,12.00419,1,-1
2015-10-30,13.32,12.97855,1,-1
2015-11-30,11.22,10.93239,-1,-1
2015-12-31,11.06,10.77649,-1,-1
2016-01-29,8.8,8.57442,-1,-1
2016-02-29,7.33,7.1421,-1,-1
2016-03-31,8.67,8.44775,1,-1
2016-04-29,9.07,8.8375,1,-1
2016-05-31,7.06,6.87902,-1,-1
2016-06-30,7.31,7.31,1,-1
2016-07-29,6.71,6.71,-1,-1
