atDate,close,adjClose,monthReturnSign,yearReturnSign
2000-10-31,1.53,0.62883,0,0
2000-11-30,1.37,0.56307,-1,0
2000-12-29,1.24,0.50964,-1,0
2001-01-31,1.12,0.46032,-1,0
2001-02-28,1.25,0.51375,1,0
2001-03-30,1.23,0.50553,-1,0
2001-04-27,1.39,0.57129,1,0
2001-05-31,1.49,0.64623,1,0
2001-06-29,1.56,0.67659,1,0
2001-07-31,1.35,0.58551,-1,0
2001-08-31,1.14,0.49443,-1,0
2001-09-28,1.09,0.47274,-1,0
2001-10-31,1.21,0.52479,1,-1
2001-11-30,1.11,0.48142,-1,-1
2001-12-31,1.07,0.46407,-1,-1
2002-01-31,1.17,0.50744,1,1
2002-02-28,1.21,0.52479,1,1
2002-03-28,1.26,0.54647,1,1
2002-04-30,1.25,0.54214,-1,-1
2002-05-31,1.31,0.56816,1,-1
2002-06-28,1.39,0.60286,1,-1
2002-07-31,1.24,0.56818,-1,-1
2002-08-30,1.18,0.54069,-1,1
2002-09-30,1.25,0.58166,1,1
2002-10-31,1.21,0.56304,-1,1
2002-11-29,1.23,0.57235,1,1
2002-12-31,1.31,0.60958,1,1
2003-01-30,1.44,0.67007,1,1
2003-02-28,1.47,0.68403,1,1
2003-03-31,1.56,0.72591,1,1
2003-04-30,1.54,0.7166,-1,1
2003-05-30,1.67,0.77709,1,1
2003-06-30,1.87,0.89804,1,1
2003-07-31,2.125,1.0205,1,1
2003-08-29,2.375,1.14056,1,1
2003-09-30,2.15,1.0458,-1,1
2003-10-31,2.575,1.25253,1,1
2003-11-28,2.425,1.17957,-1,1
2003-12-31,3.475,1.69031,1,1
2004-01-30,3.1,1.5079,-1,1
2004-02-27,3.275,1.59303,1,1
2004-03-31,3,1.45926,-1,1
2004-04-30,2.7,1.31334,-1,1
2004-05-31,2.925,1.45213,1,1
2004-06-30,2.85,1.4149,-1,1
2004-07-30,3.05,1.51419,1,1
2004-08-31,3.05,1.51419,0,1
2004-09-30,3.175,1.59631,1,1
2004-10-29,2.95,1.48318,-1,1
2004-11-30,3.325,1.67172,1,1
2004-12-31,3.2,1.60888,-1,-1
2005-01-31,3.1,1.5586,-1,1
2005-02-28,3.575,1.79742,1,1
2005-03-31,3.15,1.58374,-1,1
2005-04-29,3.05,1.53346,-1,1
2005-05-31,2.85,1.47082,-1,1
2005-06-30,3.05,1.57404,1,1
2005-07-29,3.375,1.74176,1,1
2005-08-31,3.4,1.75466,1,1
2005-09-30,3.55,1.85225,1,1
2005-10-31,3.1,1.61745,-1,1
2005-11-30,3.475,1.81311,1,1
2005-12-30,3.85,2.00877,1,1
2006-01-27,4.725,2.46531,1,1
2006-02-28,4.675,2.43923,-1,1
2006-03-31,4.5,2.34792,-1,1
2006-04-28,4.925,2.56967,1,1
2006-05-30,4.6,2.40009,-1,1
2006-06-30,4.45,2.36958,-1,1
2006-07-31,4.36,2.32165,-1,1
2006-08-31,4.63,2.46542,1,1
2006-09-29,4.84,2.59863,1,1
2006-10-31,5.4,2.89929,1,1
2006-11-30,6.15,3.30197,1,1
2006-12-29,7.2,3.86572,1,1
2007-01-31,6.53,3.506,-1,1
2007-02-28,6.25,3.35566,-1,1
2007-03-30,6.61,3.54895,1,1
2007-04-30,6.88,3.69391,1,1
2007-05-31,8.72,4.68182,1,1
2007-06-29,8.65,4.70459,1,1
2007-07-31,8.27,4.49792,-1,1
2007-08-31,8.5,4.62301,1,1
2007-09-28,9.71,5.31318,1,1
2007-10-31,11.66,6.38019,1,1
2007-11-30,11.72,6.41302,1,1
2007-12-31,11.78,6.44585,1,1
2008-01-31,8.19,4.48145,-1,1
2008-02-29,8.85,4.8426,1,1
2008-03-31,6.66,3.64426,-1,1
2008-04-30,8.27,4.52523,1,1
2008-05-30,7.86,4.30088,-1,-1
2008-06-30,7.3,4.06186,-1,-1
2008-07-31,8.14,4.52925,1,1
2008-08-29,7.52,4.18427,-1,-1
2008-09-30,6.03,3.37169,-1,-1
2008-10-31,5.03,2.81253,-1,-1
2008-11-28,5.15,2.87963,1,-1
2008-12-31,4.69,2.62242,-1,-1
2009-01-30,4.25,2.3764,-1,-1
2009-02-27,4.05,2.26457,-1,-1
2009-03-31,4.96,2.77339,1,-1
2009-04-30,6.08,3.39964,1,-1
2009-05-29,6.22,3.47793,1,-1
2009-06-30,5.91,3.36173,-1,-1
2009-07-31,6.96,3.95899,1,-1
2009-08-31,6.47,3.68027,-1,-1
2009-09-30,6.59,3.79252,1,1
2009-10-30,6.74,3.87884,1,1
2009-11-30,6.45,3.71195,-1,1
2009-12-31,6.91,3.97667,1,1
2010-01-29,6.11,3.51628,-1,1
2010-02-26,6.09,3.50477,-1,1
2010-03-31,6.36,3.66015,1,1
2010-04-30,6.29,3.61987,-1,1
2010-05-31,6.19,3.56232,-1,1
2010-06-30,6.35,3.73274,1,1
2010-07-30,6.26,3.67984,-1,-1
2010-08-31,6.16,3.62105,-1,-1
2010-09-30,6.88,4.10491,1,1
2010-10-29,7.31,4.36147,1,1
2010-11-30,7.23,4.31373,-1,1
2010-12-31,7.44,4.43903,1,1
2011-01-31,8.59,5.12517,1,1
2011-02-28,7.94,4.73735,-1,1
2011-03-31,7.8,4.65382,-1,1
2011-04-29,7.82,4.66575,1,1
2011-05-31,7.8,4.65382,-1,1
2011-06-30,7.83,4.76885,1,1
2011-07-29,7.69,4.68358,-1,1
2011-08-31,7.69,4.68358,0,1
2011-09-30,7.68,4.75252,1,1
2011-10-31,7.44,4.604,-1,1
2011-11-30,7.89,4.88247,1,1
2011-12-30,8.17,5.05574,1,1
2012-01-31,9.42,5.82926,1,1
2012-02-29,8.89,5.50129,-1,1
2012-03-30,8.46,5.23519,-1,1
2012-04-30,8.36,5.17331,-1,1
2012-05-31,6.91,4.4227,-1,-1
2012-06-29,6.88,4.4035,-1,-1
2012-07-31,7.04,4.5059,1,-1
2012-08-31,7.3,4.67232,1,-1
2012-09-28,7.24,4.71676,1,-1
2012-10-31,8.23,5.36173,1,1
2012-11-30,8.22,5.35521,-1,1
2012-12-31,8.78,5.72005,1,1
2013-01-31,9.41,6.13048,1,1
2013-02-28,8.82,5.7461,-1,1
2013-03-28,9.14,5.95458,1,1
2013-04-30,8.49,5.53111,-1,1
2013-05-31,8.02,5.22492,-1,1
2013-06-28,5.46,4.78033,-1,1
2013-07-31,5.77,5.05174,1,1
2013-08-30,5.59,4.89415,-1,1
2013-09-30,6.07,5.41711,1,1
2013-10-31,6.33,5.64914,1,1
2013-11-29,6.66,5.94365,1,1
2013-12-31,6.33,5.64914,-1,-1
2014-01-30,6.18,5.51528,-1,-1
2014-02-28,6.89,6.14891,1,1
2014-03-31,6.94,6.19353,1,1
2014-04-30,6.85,6.11321,-1,1
2014-05-30,7.03,6.44426,1,1
2014-06-30,7.39,6.77426,1,1
2014-07-31,7.7,7.05843,1,1
2014-08-29,7.86,7.2051,1,1
2014-09-30,6.8,6.32443,-1,1
2014-10-31,6.72,6.25002,-1,1
2014-11-28,6.35,5.9059,-1,-1
2014-12-31,6.25,5.81289,-1,1
2015-01-30,6.13,5.70128,-1,1
2015-02-27,6.5,6.04541,1,-1
2015-03-31,6.17,5.73849,-1,-1
2015-04-30,7.26,6.75225,1,1
2015-05-29,6.83,6.35233,-1,-1
2015-06-30,6.69,6.35687,1,-1
2015-07-31,5.88,5.5872,-1,-1
2015-08-31,5.16,4.90306,-1,-1
2015-09-30,4.71,4.57255,-1,-1
2015-10-30,5.55,5.38804,1,-1
2015-11-30,4.75,4.61139,-1,-1
2015-12-31,4.68,4.54343,-1,-1
2016-01-29,4.33,4.20364,-1,-1
2016-02-29,4.33,4.20364,0,-1
2016-03-31,5.09,4.94146,1,-1
2016-04-29,5.53,5.36862,1,-1
2016-05-31,5.3,5.14534,-1,-1
2016-06-30,5.6,5.50969,1,-1
2016-07-29,5.51,5.42114,-1,-1
2016-08-31,5.63,5.5392,1,1
2016-09-30,5.65,5.65,1,1
