atDate,close,adjClose,monthReturnSign,yearReturnSign
200010,11.55,7.02005,0,0
200011,12,7.29356,1,0
200012,13.65,8.29642,1,0
200101,14.5,8.81305,1,0
200102,14.35,8.72188,-1,0
200103,12.65,7.68863,-1,0
200104,13.45,8.17486,1,0
200105,13.45,8.23542,1,0
200106,13.35,8.17419,-1,0
200107,12.55,7.68435,-1,0
200108,11.7,7.16389,-1,0
200109,10.5,6.51015,-1,0
200110,10.15,6.29315,-1,-1
200111,10.05,6.23114,-1,-1
200112,10.2,6.32415,1,-1
200201,10.4,6.44815,1,-1
200202,10.6,6.57215,1,-1
200203,11.3,7.18418,1,-1
200204,11.9,7.56564,1,-1
200205,11.85,7.53385,-1,-1
200206,10.1,6.42126,-1,-1
200207,9.75,6.19874,-1,-1
200208,9.85,6.34946,1,-1
200209,8.9,5.73708,-1,-1
200210,9.2,5.93046,1,-1
200211,8.8,5.67262,-1,-1
200212,8.25,5.31808,-1,-1
200301,8.35,5.38254,1,-1
200302,8.65,5.57592,1,-1
200303,8.35,5.55341,-1,-1
200304,8.4,5.58667,1,-1
200305,9,5.98572,1,-1
200306,8.95,5.95246,-1,-1
200307,9.25,6.15199,1,-1
200308,9.8,6.61224,1,1
200309,10.45,7.05081,1,1
200310,10.55,7.11828,1,1
200311,10.4,7.01707,-1,1
200312,10.25,6.91586,-1,1
200401,12.2,8.23156,1,1
200402,12.35,8.33277,1,1
200403,12,8.28923,-1,1
200404,11.85,8.18562,-1,1
200405,11.25,7.77116,-1,1
200406,11.8,8.15108,1,1
200407,11.7,8.082,-1,1
200408,11.95,8.35092,1,1
200409,11.75,8.21116,-1,1
200410,11.65,8.14127,-1,1
200411,12.4,8.66539,1,1
200412,12.45,8.70033,1,1
200501,12.25,8.56057,-1,1
200502,12.4,8.66539,1,1
200503,12,8.57801,-1,1
200504,12.4,8.86394,1,1
200505,14.35,10.25787,1,1
200506,15,10.72251,1,1
200507,16.1,11.50883,1,1
200508,15.75,11.35994,-1,1
200509,16.25,11.72057,1,1
200510,14.65,10.56654,-1,1
200511,15.55,11.21568,1,1
200512,15.25,10.9993,-1,1
200601,16.3,11.75663,1,1
200602,17.65,12.73034,1,1
200603,17.5,12.82445,1,1
200604,20.65,15.13285,1,1
200605,18.75,13.74048,-1,1
200606,18.75,13.74048,0,1
200607,19.88,14.56858,1,1
200608,19.88,14.67296,1,1
200609,19.56,14.43677,-1,1
200610,18.68,13.78727,-1,1
200611,19.34,14.2744,1,1
200612,19.56,14.43677,1,1
200701,20.65,15.24128,1,1
200702,20.65,15.24128,0,1
200703,19.56,14.43677,-1,1
200704,19.28,14.43361,-1,-1
200705,19.04,14.25394,-1,1
200706,18.52,13.86465,-1,1
200707,19.72,14.763,1,1
200708,18.98,14.31427,-1,-1
200709,23.15,17.45919,1,1
200710,26.7,20.13651,1,1
200711,26.25,19.79713,-1,1
200712,28.7,21.64487,1,1
200801,29.9,22.54988,1,1
200802,29.35,22.13508,-1,1
200803,26.7,20.13651,-1,1
200804,27.9,21.28275,1,1
200805,26.3,20.06224,-1,1
200806,24.55,18.7273,-1,1
200807,25.5,19.45198,1,1
200808,25.3,19.40512,-1,1
200809,22.65,17.37257,-1,-1
200810,16.8,12.88562,-1,-1
200811,17.22,13.20776,1,-1
200812,17.96,13.77534,1,-1
200901,18.8,14.41962,1,-1
200902,17.38,13.33048,-1,-1
200903,18.64,14.2969,1,-1
200904,19.7,15.39065,1,-1
200905,24.55,19.17972,1,-1
200906,23.25,18.16409,-1,-1
200907,28.1,21.95316,1,1
200908,26.05,20.45747,-1,1
200909,26.9,21.12499,1,1
200910,27.75,21.79251,1,1
200911,26.35,20.69307,-1,1
200912,26.8,21.04646,1,1
201001,25.25,19.82922,-1,1
201002,26.9,21.12499,1,1
201003,29.4,23.4014,1,1
201004,27.5,21.88906,-1,1
201005,26.6,21.1727,-1,1
201006,26.65,21.21249,1,1
201007,27.3,21.72987,1,-1
201008,27.8,22.23925,1,1
201009,29.35,23.47921,1,1
201010,29.5,23.5992,1,1
201011,28.65,22.91923,-1,1
201012,28.3,22.63924,-1,1
201101,28.5,22.79923,1,1
201102,28.65,22.91923,1,1
201103,28.8,23.40622,1,1
201104,28.3,22.99986,-1,1
201105,28.55,23.20304,1,1
201106,27.6,22.43096,-1,1
201107,26.45,21.49634,-1,-1
201108,26.1,21.4139,-1,-1
201109,23.5,19.28072,-1,-1
