atDate,close,adjClose,monthReturnSign,yearReturnSign
2006-10-31,3.48,2.20939,0,0
2006-11-30,3.94,2.50143,1,0
2006-12-29,4.83,3.06648,1,0
2007-01-31,4.53,2.87601,-1,0
2007-02-28,4.31,2.73634,-1,0
2007-03-30,4.38,2.78078,1,0
2007-04-30,4.29,2.72364,-1,0
2007-05-31,4.09,2.59667,-1,0
2007-06-29,4.34,2.76655,1,0
2007-07-31,4.84,3.08528,1,0
2007-08-31,5.08,3.23827,1,0
2007-09-28,5.45,3.47413,1,0
2007-10-31,7.32,4.66617,1,1
2007-11-30,6.16,3.92672,-1,1
2007-12-31,5.6,3.56975,-1,1
2008-01-31,4.63,2.95142,-1,1
2008-02-29,5.54,3.5315,1,1
2008-03-31,5.42,3.45501,-1,1
2008-04-30,6.17,3.9331,1,1
2008-05-30,5.83,3.71636,-1,1
2008-06-30,5.33,3.48646,-1,1
2008-07-31,5.9,3.8593,1,1
2008-08-29,5.41,3.53879,-1,1
2008-09-30,4.58,2.99587,-1,-1
2008-10-31,3.54,2.31558,-1,-1
2008-11-28,3.8,2.48565,1,-1
2008-12-31,4.08,2.66881,1,-1
2009-01-30,3.35,2.1913,-1,-1
2009-02-27,3.18,2.0801,-1,-1
2009-03-31,4.03,2.6361,1,-1
2009-04-30,4.46,2.91737,1,-1
2009-05-29,4.88,3.32181,1,-1
2009-06-30,5.4,3.67577,1,1
2009-07-31,5.58,3.7983,1,-1
2009-08-31,5.29,3.60089,-1,1
2009-09-30,5.84,3.97528,1,1
2009-10-30,6.29,4.28159,1,1
2009-11-30,6.55,4.45857,1,1
2009-12-31,6.44,4.3837,-1,1
2010-01-29,5.7,3.87998,-1,1
2010-02-26,5.49,3.73703,-1,1
2010-03-31,5.92,4.02973,1,1
2010-04-30,5.77,3.92763,-1,1
2010-05-31,5.77,4.06492,1,1
2010-06-30,5.72,4.0297,-1,1
2010-07-30,5.93,4.17764,1,1
2010-08-31,5.65,3.98038,-1,1
2010-09-30,5.78,4.07197,1,1
2010-10-29,6.24,4.39603,1,1
2010-11-30,6.04,4.33711,-1,-1
2010-12-31,5.79,4.15759,-1,-1
2011-01-31,5.8,4.16477,1,1
2011-02-28,5.98,4.29403,1,1
2011-03-31,6.46,4.6387,1,1
2011-04-29,6.57,4.71768,1,1
2011-05-31,6.52,4.68178,-1,1
2011-06-30,5.91,4.39808,-1,1
2011-07-29,5.93,4.41297,1,1
2011-08-31,5.12,3.81018,-1,-1
2011-09-30,3.82,2.84275,-1,-1
2011-10-31,4.94,3.67623,1,-1
2011-11-30,4.31,3.2074,-1,-1
2011-12-30,4.61,3.43065,1,-1
2012-01-31,5.43,4.04088,1,-1
2012-02-29,5.69,4.23436,1,-1
2012-03-30,5.01,3.72832,-1,-1
2012-04-30,5.18,3.85483,1,-1
2012-05-31,4.72,3.51251,-1,-1
2012-06-29,4.29,3.37102,-1,-1
2012-07-31,4.45,3.49675,1,-1
2012-08-31,4.2,3.3003,-1,-1
2012-09-28,4.58,3.5989,1,1
2012-10-31,5.13,4.03108,1,1
2012-11-30,5.23,4.10966,1,1
2012-12-31,5.5,4.32183,1,1
2013-01-31,5.84,4.58899,1,1
2013-02-28,5.57,4.37683,-1,1
2013-03-28,5.44,4.27468,-1,1
2013-04-30,5.46,4.29039,1,1
2013-05-31,5.47,4.29825,1,1
2013-06-28,4.89,4.0851,-1,1
2013-07-31,5.1,4.26053,1,1
2013-08-30,5.09,4.25218,-1,1
2013-09-30,5.41,4.5195,1,1
2013-10-31,5.43,4.53621,1,1
2013-11-29,5.57,4.65317,1,1
2013-12-31,5.24,4.37749,-1,1
2014-01-30,4.81,4.01827,-1,-1
2014-02-28,4.65,3.8846,-1,-1
2014-03-31,4.77,3.98485,1,-1
2014-04-30,4.62,3.85954,-1,-1
2014-05-30,5.04,4.21041,1,-1
2014-06-30,4.9,4.36871,1,1
2014-07-31,5.33,4.75209,1,1
2014-08-29,5.14,4.58269,-1,1
2014-09-30,4.84,4.31522,-1,-1
2014-10-31,5.13,4.57378,1,1
2014-11-28,5.26,4.68968,1,1
2014-12-31,5.66,5.04631,1,1
2015-01-30,5.58,4.97498,-1,1
2015-02-27,5.66,5.04631,1,1
2015-03-31,5.72,5.09981,1,1
2015-04-30,6.74,6.00921,1,1
2015-05-29,6.75,6.01813,1,1
2015-06-30,6.16,5.77567,-1,1
2015-07-31,5.34,5.00683,-1,1
2015-08-31,4.58,4.29425,-1,-1
2015-09-30,4.46,4.18173,-1,-1
2015-10-30,4.95,4.64116,1,1
2015-11-30,4.69,4.39738,-1,-1
2015-12-31,4.68,4.38801,-1,-1
2016-01-29,4.03,3.77856,-1,-1
2016-02-29,3.84,3.60042,-1,-1
2016-03-31,4.34,4.06922,1,-1
2016-04-29,4.21,3.94733,-1,-1
2016-05-31,4.12,3.86295,-1,-1
2016-06-30,4.29,4.29,1,-1
2016-07-29,4.39,4.39,1,-1
2016-08-31,4.93,4.93,1,1
2016-09-30,4.85,4.85,-1,1
