atDate,close,adjClose,monthReturnSign,yearReturnSign
199401,4.15,0.7707,0,0
199402,3.575,0.66392,-1,0
199403,3.175,0.58963,-1,0
199404,2.925,0.5432,-1,0
199405,3.225,0.59892,1,0
199406,2.975,0.55971,-1,0
199407,3.08,0.57947,1,0
199408,3.26,0.61333,1,0
199409,3.03,0.57006,-1,0
199410,3,0.56442,-1,0
199411,2.35,0.44213,-1,0
199412,2,0.37628,-1,0
199501,1.51,0.28409,-1,-1
199502,1.74,0.32736,1,-1
199503,1.95,0.36687,1,-1
199504,1.94,0.36499,-1,-1
199505,2.675,0.50327,1,-1
199506,2.55,0.49109,-1,-1
199507,2.85,0.54886,1,-1
199508,3.225,0.62108,1,1
199509,3.325,0.64034,1,1
199510,3.425,0.66341,1,1
199511,3.375,0.65373,-1,1
199512,4,0.77479,1,1
199601,4.5,0.87164,1,1
199602,4.425,0.85711,-1,1
199603,4.45,0.86195,1,1
199604,4.775,0.9249,1,1
199605,5.65,1.09439,1,1
199606,5.45,1.06762,-1,1
199607,6.1,1.19496,1,1
199608,6.95,1.36147,1,1
199609,7.8,1.52798,1,1
199610,8.7,1.71043,1,1
199611,11.1,2.18227,1,1
199612,17.4,3.42085,1,1
199701,16.55,3.25374,-1,1
199702,17.4,3.42085,1,1
199703,16.7,3.28323,-1,1
199704,21.4,4.20725,1,1
199705,27.2,5.34754,1,1
199706,38,7.49319,1,1
199707,38.7,7.63123,1,1
199708,32.5,6.40865,-1,1
199709,32.4,6.38893,-1,1
199710,21.2,4.18879,-1,1
199711,16.65,3.28978,-1,1
199712,17.3,3.41821,1,-1
199801,10.4,2.05488,-1,-1
199802,16.9,3.33918,1,-1
199803,15.7,3.10208,-1,-1
199804,13.3,2.62787,-1,-1
199805,9.05,1.78814,-1,-1
199806,8,1.60938,-1,-1
199807,5.65,1.13662,-1,-1
199808,5.6,1.12656,-1,-1
199809,7.05,1.41826,1,-1
199810,10.35,2.10053,1,-1
199811,11.3,2.29333,1,-1
199812,12.1,2.45569,1,-1
199901,9.4,1.90773,-1,-1
199902,10.15,2.05994,1,-1
199903,11.3,2.29333,1,-1
199904,13.05,2.6485,1,1
199905,11.35,2.30348,-1,1
199906,13.7,2.80197,1,1
199907,12.1,2.47473,-1,1
199908,12.75,2.60767,1,1
199909,10.55,2.15772,-1,1
199910,10,2.05676,-1,-1
199911,9.8,2.01563,-1,-1
199912,12.45,2.56067,1,1
200001,12.5,2.57096,1,1
200002,10.05,2.06705,-1,1
200003,10.7,2.20074,1,-1
200004,9.8,2.01563,-1,-1
200005,7.5,1.54257,-1,-1
200006,9.35,1.94341,1,-1
200007,11.25,2.33833,1,-1
200008,11.6,2.41108,1,-1
200009,9.3,1.93302,-1,-1
200010,8.8,1.84165,-1,-1
200011,9,1.88351,1,-1
200012,9.95,2.08232,1,-1
200101,11.3,2.36485,1,-1
200102,12.65,2.64737,1,1
200103,10.35,2.16603,-1,-1
200104,11.45,2.39624,1,1
200105,12.25,2.56366,1,1
200106,13.15,2.78341,1,1
200107,11.7,2.47649,-1,1
200108,9.1,1.92616,-1,-1
200109,6.8,1.43933,-1,-1
200110,7.85,1.68012,1,-1
200111,7.4,1.5838,-1,-1
200112,7.3,1.5624,-1,-1
200201,7.25,1.60521,1,-1
200202,7.25,1.60521,0,-1
200203,7.3,1.61628,1,-1
200204,7.55,1.67163,1,-1
200205,9.1,2.03758,1,-1
200206,9.15,2.04877,1,-1
200207,8.75,1.95921,-1,-1
200208,8.85,1.9816,1,1
200209,7.25,1.62334,-1,1
200210,7.6,1.72325,1,1
200211,7.3,1.65523,-1,1
200212,6.9,1.56453,-1,1
200301,7.05,1.59854,1,-1
200302,7,1.58721,-1,-1
200303,6.25,1.41715,-1,-1
200304,6.2,1.40581,-1,-1
200305,6.5,1.50278,1,-1
200306,6.75,1.56058,1,-1
200307,7.05,2.50759,1,1
200308,7.55,2.68544,1,1
200309,8.4,2.98777,1,1
200310,9.15,3.29375,1,1
200311,9.05,3.25775,-1,1
200312,8.8,3.16776,-1,1
200401,10.2,3.67172,1,1
200402,11,3.9597,1,1
200403,10.1,3.63572,-1,1
200404,9.05,3.25775,-1,1
200405,9.6,3.51096,1,1
200406,9.45,3.4561,-1,1
200407,9.6,3.51096,1,1
200408,10.35,3.78526,1,1
200409,10.15,3.75319,-1,1
200410,10.85,4.01203,1,1
200411,11.4,4.21541,1,1
200412,12.15,4.49274,1,1
200501,11.4,4.21541,-1,1
200502,11.1,4.10448,-1,1
200503,10.7,3.95657,-1,1
200504,10.95,4.04901,1,1
200505,10.7,4.0172,-1,1
200506,12,4.50527,1,1
200507,12.85,4.8244,1,1
200508,12.35,4.63668,-1,1
200509,12.7,4.81799,1,1
200510,11.45,4.34378,-1,1
200511,13.8,5.2353,1,1
200512,13.85,5.25426,1,1
200601,16.5,6.25959,1,1
200602,17.1,6.48721,1,1
200603,16,6.06991,-1,1
200604,16.6,6.29753,1,1
200605,14.95,5.76131,-1,1
200606,15.85,6.10815,1,1
200607,17.12,6.59757,1,1
200608,17.7,6.82108,1,1
200609,16.88,6.56088,-1,1
200610,18.02,7.00397,1,1
200611,19.74,7.6725,1,1
200612,22.35,9.06963,1,1
200701,24.35,9.88124,1,1
200702,23.05,9.35369,-1,1
200703,26.1,10.59139,1,1
200704,26.7,10.83487,1,1
200705,28.65,11.73534,1,1
