atDate,close,adjClose,monthReturnSign,yearReturnSign
199401,12.3,4.80746,0,0
199402,11.9,4.65112,-1,0
199403,10.6,4.14302,-1,0
199404,10.2,4.0386,-1,0
199405,10.8,4.27617,1,0
199406,9.1,3.60307,-1,0
199407,9.85,3.90002,1,0
199408,9.475,3.75154,-1,0
199409,9.925,3.92972,1,0
199410,9.6,3.80104,-1,0
199411,7.7,3.13866,-1,0
199412,7,2.85332,-1,0
199501,6.85,2.79218,-1,-1
199502,7.05,2.87371,1,-1
199503,7.4,3.01637,1,-1
199504,6.45,2.68168,-1,-1
199505,6.95,2.88956,1,-1
199506,6.8,2.8272,-1,-1
199507,7.25,3.01429,1,-1
199508,6.95,2.88956,-1,-1
199509,7.3,3.03508,1,-1
199510,7.45,3.09745,1,-1
199511,7.4,3.19276,1,1
199512,7.7,3.32219,1,1
199601,9.4,4.05567,1,1
199602,9.15,3.9478,-1,1
199603,9.05,3.90466,-1,1
199604,8.7,3.81763,-1,1
199605,9.6,4.21256,1,1
199606,9.35,4.10286,-1,1
199607,8.6,3.77375,-1,1
199608,9,3.94927,1,1
199609,9,3.94927,0,1
199610,9.55,4.19062,1,1
199611,10.8,4.88183,1,1
199612,11.15,5.04003,1,1
199701,9.85,4.45241,-1,1
199702,9.25,4.18119,-1,1
199703,8.2,3.70657,-1,-1
199704,7.65,3.52635,-1,-1
199705,8.8,4.05646,1,-1
199706,8.55,3.94122,-1,-1
199707,8.65,3.98731,1,1
199708,7.8,3.59549,-1,-1
199709,8.45,3.89512,1,-1
199710,6.65,3.06539,-1,-1
199711,6.65,3.21295,1,-1
199712,6.8,3.28542,1,-1
199801,5.7,2.75395,-1,-1
199802,6.55,3.16463,1,-1
199803,6.2,2.99553,-1,-1
199804,5.65,2.80805,-1,-1
199805,4.975,2.47258,-1,-1
199806,5,2.485,1,-1
199807,4.3,2.1371,-1,-1
199808,3.725,1.85133,-1,-1
199809,5.15,2.55955,1,-1
199810,6,2.982,1,-1
199811,5.6,2.93222,-1,-1
199812,5.75,3.01076,1,-1
199901,4.975,2.60496,-1,-1
199902,5.55,2.90604,1,-1
199903,6.75,3.53437,1,1
199904,7.05,3.76073,1,1
199905,6.55,3.49401,-1,1
199906,7.3,3.89409,1,1
199907,7.2,3.84075,-1,1
199908,7.65,4.08079,1,1
199909,7.05,3.76073,-1,1
199910,6.7,3.57403,-1,1
199911,6,3.29546,-1,1
199912,6.55,3.59754,1,1
200001,5.05,2.77367,-1,1
200002,4.375,2.40294,-1,-1
200003,4.825,2.6501,1,-1
200004,5.5,3.07837,1,-1
200005,4.625,2.58863,-1,-1
200006,5.25,2.93845,1,-1
200007,7.1,3.9739,1,1
200008,7.3,4.08584,1,1
200009,7.6,4.25375,1,1
200010,7.1,3.9739,-1,1
200011,6.9,3.99876,1,1
200012,8.7,5.04191,1,1
200101,8.7,5.04191,0,1
200102,8.7,5.04191,0,1
200103,8.7,5.04191,0,1
200104,8.1,4.75466,-1,1
200105,8.5,4.98946,1,1
200106,8.95,5.25361,1,1
200107,8.6,5.04816,-1,1
200108,8.45,4.96011,-1,1
200109,7.55,4.43181,-1,1
200110,8.1,4.75466,1,1
200111,7.9,4.80515,1,1
200112,8.05,4.89639,1,-1
200201,7.9,4.80515,-1,-1
200202,7.75,4.71391,-1,-1
200203,7.3,4.5029,-1,-1
200204,8.75,5.39731,1,1
200205,8.95,5.52068,1,1
200206,8.9,5.48984,-1,1
200207,8.4,5.18142,-1,1
200208,8,4.93469,-1,-1
200209,6.95,4.28701,-1,-1
200210,7.6,4.68795,1,-1
200211,7.3,4.68154,-1,-1
200212,7.55,4.84187,1,-1
200301,7.35,4.7136,-1,-1
200302,7.1,4.55328,-1,-1
200303,7.4,4.74567,1,1
200304,6.75,4.40108,-1,-1
200305,7.3,4.75968,1,-1
200306,7.05,4.59668,-1,-1
200307,8.2,5.34649,1,1
200308,9,5.8681,1,1
200309,9.8,6.38971,1,1
200310,10.15,6.61792,1,1
200311,9.6,6.44341,-1,1
200312,9.95,6.67832,1,1
200401,11.85,7.95358,1,1
200402,11.25,7.55087,-1,1
200403,11.05,7.48986,-1,1
200404,10.55,7.15096,-1,1
200405,10.15,6.87983,-1,1
200406,10.05,6.81205,-1,1
200407,10.75,7.28652,1,1
200408,11.35,7.69321,1,1
200409,11.5,7.79488,1,1
200410,11.55,7.82877,1,1
200411,12.15,8.47137,1,1
200412,12,8.36679,-1,1
200501,11.7,8.15762,-1,1
200502,12.1,8.43651,1,1
200503,11.3,7.96649,-1,1
200504,11.95,8.42474,1,1
200505,11.3,7.96649,-1,1
200506,11.45,8.07224,1,1
200507,12.35,8.70674,1,1
200508,12.1,8.53049,-1,1
200509,12.35,8.70674,1,1
200510,11.1,8.08681,-1,1
200511,11.65,8.48751,1,1
200512,12.1,8.81536,1,1
200601,15.1,11.00098,1,1
200602,14,10.19958,-1,1
200603,14.75,10.84458,1,1
200604,15.6,11.46952,1,1
200605,13.75,10.10935,-1,1
200606,13.9,10.21964,1,1
200607,15.34,11.27836,1,1
200608,16.58,12.19004,1,1
200609,16.64,12.23415,1,1
200610,16.96,12.46943,1,1
200611,17.3,13.00608,1,1
200612,19.5,14.66003,1,1
200701,21.3,16.01327,1,1
200702,20.65,15.5246,-1,1
200703,21.85,16.52243,1,1
200704,23.35,17.65669,1,1
200705,24.6,18.60191,1,1
200706,26.95,20.37892,1,1
200707,29.2,22.08032,1,1
200708,28.55,21.5888,-1,1
200709,34.8,26.3149,1,1
200710,36.85,28.19724,1,1
200711,35.3,27.0112,-1,1
200712,35.3,27.0112,0,1
200801,30.35,23.22351,-1,1
200802,28.75,21.99921,-1,1
200803,27.55,21.19831,-1,1
200804,31.7,24.39153,1,1
200805,29.7,22.85263,-1,1
200806,25,19.23622,-1,-1
200807,24.85,19.1208,-1,-1
200808,25,19.23622,1,-1
200809,17.88,13.75774,-1,-1
200810,18.4,14.64938,1,-1
200811,16.7,13.29591,-1,-1
200812,16.84,13.40737,1,-1
200901,17.8,14.17169,1,-1
200902,14.98,11.92651,-1,-1
200903,18.2,14.60821,1,-1
200904,22.05,17.69841,1,-1
200905,26.2,21.02941,1,-1
200906,25.65,20.58795,-1,1
200907,28.4,22.79523,1,1
200908,24.15,19.38397,-1,1
200909,28.55,22.91563,1,1
200910,29.9,24.4178,1,1
200911,28.3,23.11116,-1,1
200912,30.6,24.98945,1,1
201001,26.5,21.64119,-1,1
201002,29.65,24.36181,1,1
201003,31.3,25.71753,1,1
201004,28.5,23.41692,-1,1
201005,27.4,22.51311,-1,1
201006,30.15,24.77263,1,1
201007,32.4,26.62134,1,1
201008,34.75,28.55221,1,1
201009,37.9,31.14039,1,1
201010,37.95,31.62977,1,1
201011,36.15,30.12955,-1,1
201012,36.35,30.29623,1,1
201101,34.2,28.5043,-1,1
201102,33.2,27.82027,-1,1
201103,34.05,28.53253,1,1
201104,34.6,28.99341,1,1
201105,32.4,27.1499,-1,1
201106,31.9,26.73092,-1,1
201107,28.8,24.13325,-1,-1
201108,28.85,24.17514,1,-1
201109,23.4,19.60826,-1,-1
201110,28.7,24.55359,1,-1
201111,22.8,19.50599,-1,-1
201112,22.1,18.90712,-1,-1
201201,26.65,22.79976,1,-1
201202,29.35,25.10968,1,-1
201203,28.45,24.33971,-1,-1
201204,28.7,24.85798,1,-1
201205,24.75,21.43676,-1,-1
201206,26.2,22.69265,1,-1
201207,27.6,23.90523,1,-1
201208,26.5,23.09604,-1,-1
201209,26.5,23.09604,0,1
201210,26.95,23.48824,1,-1
201211,28.4,24.75199,1,1
201212,30.8,26.8437,1,1
201301,29.25,25.4928,-1,1
201302,30.05,26.19004,1,1
201303,29,25.27492,-1,1
201304,30.2,26.82626,1,1
201305,27.3,24.25023,-1,1
201306,27.05,24.02816,-1,1
201307,25.15,22.34041,-1,-1
201308,24.25,21.54096,-1,-1
201309,26.4,23.60601,1,1
201310,25.55,22.84597,-1,-1
201311,26.05,23.29306,1,-1
201312,24.5,21.9071,-1,-1
201401,21.55,19.2693,-1,-1
201402,21.55,19.2693,0,-1
201403,22.3,19.93993,1,-1
201404,23.05,21.14374,1,-1
201405,24.6,22.56556,1,-1
201406,23.9,21.92345,-1,-1
201407,24.05,22.06104,1,-1
201408,25.6,23.48286,1,1
201409,22.1,20.41195,-1,-1
201410,24.2,22.35155,1,-1
201411,23.3,21.52029,-1,-1
201412,21.75,20.08868,-1,-1
201501,22.85,21.10466,1,1
201502,22,20.31959,-1,1
201503,21.8,20.13486,-1,1
201504,26.25,24.24496,1,1
201505,24.5,23.14893,-1,1
201506,23.05,21.77889,-1,-1
201507,22.15,20.92852,-1,-1
201508,17.5,16.53495,-1,-1
201509,17.36,16.56084,1,-1
201510,19.02,18.14442,1,-1
201511,18.16,17.32401,-1,-1
201512,17.64,16.82795,-1,-1
201601,14.26,13.60354,-1,-1
201602,13.64,13.01209,-1,-1
201603,14.82,14.13776,1,-1
201604,15.48,14.76738,1,-1
201605,14.84,14.70792,-1,-1
201606,15.62,15.48097,1,-1
201607,16.8,16.65047,1,-1
201608,17.68,17.52264,1,1
201609,17.44,17.44,-1,1
