atDate,close,adjClose,monthReturnSign,yearReturnSign
199401,2.275,0.97328,0,0
199402,2.425,1.05233,1,0
199403,2,0.8679,-1,0
199404,1.92,0.83319,-1,0
199405,2.025,0.87875,1,0
199406,1.76,0.76375,-1,0
199407,1.56,0.67696,-1,0
199408,1.42,0.61621,-1,0
199409,1.23,0.54981,-1,0
199410,1.38,0.61686,1,0
199411,0.99,0.44253,-1,0
199412,0.73,0.32631,-1,0
199501,0.57,0.25479,-1,-1
199502,0.6,0.2682,1,-1
199503,0.56,0.25032,-1,-1
199504,0.52,0.23244,-1,-1
199505,0.58,0.25926,1,-1
199506,0.83,0.37101,1,-1
199507,0.87,0.38889,1,-1
199508,0.69,0.30843,-1,-1
199509,0.68,0.31952,1,-1
199510,0.67,0.31482,-1,-1
199511,0.73,0.34301,1,-1
199512,0.78,0.3665,1,1
199601,0.95,0.45211,1,1
199602,1.22,0.5806,1,1
199603,1.14,0.54253,-1,1
199604,1.22,0.5806,1,1
199605,1.25,0.59488,1,1
199606,1.29,0.61391,1,1
199607,1.23,0.58536,-1,1
199608,1.31,0.62343,1,1
199609,1.05,0.53656,-1,1
199610,1.16,0.59277,1,1
199611,1.2,0.61321,1,1
199612,1.26,0.64387,1,1
199701,1.19,0.63323,-1,1
199702,1.27,0.6758,1,1
199703,1.13,0.6013,-1,1
199704,1.13,0.6013,0,1
199705,1.3,0.69176,1,1
199706,1.35,0.71837,1,1
199707,2.05,1.09086,1,1
199708,3.05,1.62298,1,1
199709,2.15,1.15563,-1,1
199710,1.28,0.688,-1,1
199711,1.17,0.62888,-1,1
199712,1.13,0.60738,-1,-1
199801,0.61,0.3362,-1,-1
199802,1.02,0.56217,1,-1
199803,0.93,0.51256,-1,-1
199804,0.73,0.40233,-1,-1
199805,0.66,0.36375,-1,-1
199806,0.5,0.27557,-1,-1
199807,0.42,0.23148,-1,-1
199808,0.385,0.21219,-1,-1
199809,0.42,0.2425,1,-1
199810,0.53,0.30602,1,-1
199811,0.54,0.31179,1,-1
199812,0.46,0.2656,-1,-1
199901,0.425,0.25864,-1,-1
199902,0.445,0.27081,1,-1
199903,0.47,0.28602,1,-1
199904,0.58,0.35297,1,-1
199905,0.62,0.37731,1,1
199906,0.88,0.53553,1,1
199907,0.75,0.45642,-1,1
199908,0.77,0.46859,1,1
199909,0.72,0.47244,1,1
199910,0.69,0.45276,-1,1
199911,0.74,0.48557,1,1
199912,0.65,0.43888,-1,1
200001,0.63,0.42537,-1,1
200002,0.61,0.41187,-1,1
200003,0.6,0.40512,-1,1
200004,0.51,0.34435,-1,-1
200005,0.56,0.37811,1,1
200006,0.53,0.38341,1,-1
200007,0.59,0.42682,1,-1
200008,0.61,0.44129,1,-1
200009,0.58,0.41958,-1,-1
200010,0.52,0.39312,-1,-1
200011,0.5,0.378,-1,-1
200012,0.52,0.39312,1,-1
200101,0.52,0.39312,0,-1
200102,0.55,0.4158,1,1
200103,0.5,0.378,-1,-1
200104,0.54,0.40824,1,1
200105,0.56,0.45256,1,1
200106,0.54,0.4364,-1,1
200107,0.54,0.4364,0,1
200108,0.5,0.40407,-1,-1
200109,0.415,0.33538,-1,-1
200110,0.425,0.3565,1,-1
200111,0.45,0.37748,1,-1
200112,0.43,0.3607,-1,-1
200201,0.45,0.37748,1,-1
200202,0.6,0.5033,1,1
