atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2016-10-19,2016-10-21,0,2.58,2.58,2.59,2.57,2.61,2894570,7487403,2.58670649,2.58,2.58,2.59,2.57,2.61,2894570,2.58671,-0.00769
2016-10-18,2016-10-20,0,2.6,2.57,2.6,2.56,2.6,8542617,22050984,2.58129142,2.6,2.57,2.6,2.56,2.6,8542617,2.58129,0.00775
2016-10-17,2016-10-19,0,2.58,2.58,2.59,2.58,2.61,3325875,8626962,2.59389243,2.58,2.58,2.59,2.58,2.61,3325875,2.59389,-0.01149
2016-10-14,2016-10-18,0,2.61,2.59,2.61,2.56,2.61,4807573,12457176,2.59115691,2.61,2.59,2.61,2.56,2.61,4807573,2.59116,0.01163
2016-10-13,2016-10-17,0,2.58,2.58,2.59,2.56,2.6,5772890,14920619,2.5846013,2.58,2.58,2.59,2.56,2.6,5772890,2.5846,0.00389
2016-10-12,2016-10-14,0,2.57,2.56,2.57,2.56,2.58,2840372,7292462,2.56743201,2.57,2.56,2.57,2.56,2.58,2840372,2.56743,0
2016-10-11,2016-10-13,0,2.57,2.57,2.58,2.57,2.62,4271991,11042677,2.58490175,2.57,2.57,2.58,2.57,2.62,4271991,2.5849,0
2016-10-07,2016-10-12,0,2.57,2.57,2.58,2.55,2.59,2955252,7622919,2.57944805,2.57,2.57,2.58,2.55,2.59,2955252,2.57945,0.00391
2016-10-06,2016-10-11,0,2.56,2.55,2.56,2.55,2.59,6584321,16915185,2.56900977,2.56,2.55,2.56,2.55,2.59,6584321,2.56901,-0.00775
2016-10-05,2016-10-07,0,2.58,2.57,2.58,2.57,2.6,5026200,12954846,2.57746329,2.58,2.57,2.58,2.57,2.6,5026200,2.57746,-0.00769
2016-10-04,2016-10-06,0,2.6,2.59,2.6,2.55,2.63,8435271,21783288,2.58240524,2.6,2.59,2.6,2.55,2.63,8435271,2.58241,-0.00763
2016-10-03,2016-10-05,0,2.62,2.6,2.62,2.58,2.62,2293000,5966824,2.60219102,2.62,2.6,2.62,2.58,2.62,2293000,2.60219,0.02344
