atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2016-10-19,2016-10-21,0,4.71,4.7,4.71,4.7,4.8,202097908,958060585,4.74057646,4.71,4.7,4.71,4.7,4.8,202097908,4.74058,-0.01258
2016-10-18,2016-10-20,0,4.77,4.76,4.77,4.69,4.77,275880596,1307672778,4.73999548,4.77,4.76,4.77,4.69,4.77,275880596,4.74,0.01923
2016-10-17,2016-10-19,0,4.68,4.68,4.69,4.66,4.73,233131112,1091983961,4.6839907,4.68,4.68,4.69,4.66,4.73,233131112,4.68399,-0.00847
2016-10-14,2016-10-18,0,4.72,4.72,4.73,4.66,4.74,396720151,1863497606,4.69725977,4.72,4.72,4.73,4.66,4.74,396720151,4.69726,0.0064
2016-10-13,2016-10-17,0,4.69,4.69,4.7,4.68,4.81,383995181,1812043404,4.71892225,4.69,4.69,4.7,4.68,4.81,383995181,4.71892,-0.02697
2016-10-12,2016-10-14,0,4.82,4.82,4.83,4.78,4.89,277609440,1334441385,4.80690205,4.82,4.82,4.83,4.78,4.89,277609440,4.8069,-0.01833
2016-10-11,2016-10-13,0,4.91,4.9,4.91,4.87,5.05,251881333,1243509600,4.93688669,4.91,4.9,4.91,4.87,5.05,251881333,4.93689,-0.018
2016-10-07,2016-10-12,0,5,4.99,5,4.96,5.04,164123809,820030288,4.99641273,5,4.99,5,4.96,5.04,164123809,4.99641,0
2016-10-06,2016-10-11,0,5,5,5.01,4.97,5.03,252528192,1263656971,5.00402336,5,5,5.01,4.97,5.03,252528192,5.00402,0.00806
2016-10-05,2016-10-07,0,4.96,4.96,4.97,4.93,5,161523269,802800459,4.97018457,4.96,4.96,4.97,4.93,5,161523269,4.97018,0.00202
2016-10-04,2016-10-06,0,4.95,4.94,4.95,4.9,4.95,124558034,614171445,4.93080555,4.95,4.94,4.95,4.9,4.95,124558034,4.93081,0.00815
2016-10-03,2016-10-05,0,4.91,4.91,4.92,4.9,4.96,114681900,564012428,4.91805968,4.91,4.91,4.92,4.9,4.96,114681900,4.91806,0.01237
2016-09-30,2016-10-04,0,4.85,4.85,4.86,4.85,4.94,233258504,1138668447,4.88157314,4.85,4.85,4.86,4.85,4.94,233258504,4.88157,-0.02806
2016-09-29,2016-10-03,0,4.99,4.99,5,4.92,5.04,216710041,1077134653,4.97039569,4.99,4.99,5,4.92,5.04,216710041,4.9704,0.00402
2016-09-28,2016-09-30,0,4.97,4.96,4.97,4.92,4.99,310738312,1540458556,4.95741431,4.97,4.96,4.97,4.92,4.99,310738312,4.95741,0
2016-09-27,2016-09-29,0,4.97,4.96,4.97,4.85,5.01,399359686,1979790803,4.95741276,4.97,4.96,4.97,4.85,5.01,399359686,4.95741,0.02474
2016-09-26,2016-09-28,0,4.85,4.84,4.85,4.81,4.94,294457543,1438151869,4.8840721,4.85,4.84,4.85,4.81,4.94,294457543,4.88407,-0.00615
2016-09-23,2016-09-27,0,4.88,4.87,4.88,4.88,5.05,431091063,2130230148,4.94148529,4.88,4.87,4.88,4.88,5.05,431091063,4.94149,-0.02982
2016-09-22,2016-09-26,0,5.03,5.02,5.03,4.97,5.12,368065165,1858277136,5.0487721,5.03,5.02,5.03,4.97,5.12,368065165,5.04877,0
2016-09-21,2016-09-23,0,5.03,5.03,5.04,4.94,5.08,348449382,1751064479,5.02530516,5.03,5.03,5.04,4.94,5.08,348449382,5.02531,0.01207
2016-09-20,2016-09-22,0,4.97,4.97,4.98,4.89,4.99,261962320,1300855116,4.96581003,4.97,4.97,4.98,4.89,4.99,261962320,4.96581,0.01016
2016-09-19,2016-09-21,0,4.92,4.92,4.93,4.85,4.97,336653042,1661025779,4.93393961,4.92,4.92,4.93,4.85,4.97,336653042,4.93394,0.02075
2016-09-15,2016-09-20,0,4.82,4.82,4.83,4.79,4.88,253144685,1224634102,4.83768443,4.82,4.82,4.83,4.79,4.88,253144685,4.83768,0.00417
2016-09-14,2016-09-19,0,4.8,4.79,4.8,4.77,4.87,224683548,1081048666,4.81142779,4.8,4.79,4.8,4.77,4.87,224683548,4.81143,-0.00208
2016-09-13,2016-09-15,0,4.81,4.8,4.81,4.8,4.95,202757073,989474294,4.88009754,4.81,4.8,4.81,4.8,4.95,202757073,4.8801,-0.00414
2016-09-12,2016-09-14,0,4.83,4.83,4.84,4.83,4.95,451920940,2205641667,4.88059187,4.83,4.83,4.84,4.83,4.95,451920940,4.88059,-0.04545
2016-09-09,2016-09-13,0,5.06,5.06,5.07,5.05,5.12,428494751,2179467094,5.08633324,5.06,5.06,5.07,5.05,5.12,428494751,5.08633,0
2016-09-08,2016-09-12,0,5.06,5.06,5.07,5.04,5.09,287716164,1458290769,5.06850484,5.06,5.06,5.07,5.04,5.09,287716164,5.0685,0
2016-09-07,2016-09-09,0,5.06,5.06,5.07,5.02,5.08,384415787,1946927586,5.06464004,5.06,5.06,5.07,5.02,5.08,384415787,5.06464,0.00198
2016-09-06,2016-09-08,0,5.05,5.04,5.05,4.96,5.06,416392261,2089700833,5.01858711,5.05,5.04,5.05,4.96,5.06,416392261,5.01859,0.01406
2016-09-05,2016-09-07,0,4.98,4.98,4.99,4.93,5.02,399767392,1989347206,4.97626181,4.98,4.98,4.99,4.93,5.02,399767392,4.97626,0.01633
2016-09-02,2016-09-06,0,4.9,4.9,4.92,4.9,4.97,653255850,3216963992,4.92450851,4.9,4.9,4.92,4.9,4.97,653255850,4.92451,-0.01408
2016-09-01,2016-09-05,0,4.97,4.97,4.98,4.87,5,404522724,2005769104,4.95835953,4.97,4.97,4.98,4.87,5,404522724,4.95836,0.00811
2016-08-31,2016-09-02,0,4.93,4.93,4.94,4.93,5,331215783,1645120034,4.96691317,4.93,4.93,4.94,4.93,5,331215783,4.96691,-0.01202
2016-08-30,2016-09-01,0,4.99,4.98,4.99,4.91,5,384928932,1909773668,4.96136692,4.99,4.98,4.99,4.91,5,384928932,4.96137,0.01012
2016-08-29,2016-08-31,0,4.94,4.93,4.94,4.87,4.94,258657045,1272701241,4.92041978,4.94,4.93,4.94,4.87,4.94,258657045,4.92042,0
2016-08-26,2016-08-30,0,4.94,4.93,4.94,4.88,4.99,360331309,1775913599,4.92855757,4.94,4.93,4.94,4.88,4.99,360331309,4.92856,0.00203
2016-08-25,2016-08-29,0,4.93,4.92,4.93,4.87,4.99,339313353,1678489740,4.94672469,4.93,4.92,4.93,4.87,4.99,339313353,4.94672,0.00612
2016-08-24,2016-08-26,0,4.9,4.9,4.91,4.88,4.99,461746982,2267820868,4.91139294,4.9,4.9,4.91,4.88,4.99,461746982,4.91139,-0.02
2016-08-23,2016-08-25,0,5,4.99,5,4.92,5.02,389793789,1943901907,4.98700072,5,4.99,5,4.92,5.02,389793789,4.987,0.00806
2016-08-22,2016-08-24,0,4.96,4.95,4.96,4.86,4.96,356256226,1757479842,4.93319053,4.96,4.95,4.96,4.86,4.96,356256226,4.93319,0.01018
2016-08-19,2016-08-23,0,4.91,4.9,4.91,4.85,4.95,321973658,1577972986,4.90093816,4.91,4.9,4.91,4.85,4.95,321973658,4.90094,0.00204
2016-08-18,2016-08-22,0,4.9,4.89,4.9,4.88,4.95,467325450,2297974497,4.91728943,4.9,4.89,4.9,4.88,4.95,467325450,4.91729,0.0041
2016-08-17,2016-08-19,0,4.88,4.87,4.88,4.82,4.92,438252905,2138966205,4.88066635,4.88,4.87,4.88,4.82,4.92,438252905,4.88067,0.00619
2016-08-16,2016-08-18,0,4.85,4.84,4.85,4.8,4.9,325879456,1582395686,4.85577,4.85,4.84,4.85,4.8,4.9,325879456,4.85577,-0.00411
2016-08-15,2016-08-17,0,4.87,4.86,4.87,4.77,4.9,491604091,2389146519,4.85989959,4.87,4.86,4.87,4.77,4.9,491604091,4.8599,0.0167
2016-08-12,2016-08-16,0,4.79,4.79,4.8,4.76,4.8,474115047,2267813304,4.78325528,4.79,4.79,4.8,4.76,4.8,474115047,4.78326,0.01055
2016-08-11,2016-08-15,0,4.74,4.73,4.74,4.62,4.75,482387208,2273315468,4.7126363,4.74,4.73,4.74,4.62,4.75,482387208,4.71264,0.02155
2016-08-10,2016-08-12,0,4.64,4.63,4.64,4.59,4.65,266493516,1234031934,4.63062649,4.64,4.63,4.64,4.59,4.65,266493516,4.63063,0.0131
2016-08-09,2016-08-11,0,4.58,4.58,4.59,4.54,4.59,174644782,796738909,4.5620539,4.58,4.58,4.59,4.54,4.59,174644782,4.56205,0.00439
2016-08-08,2016-08-10,0,4.56,4.55,4.56,4.5,4.56,189859777,860734086,4.53352521,4.56,4.55,4.56,4.5,4.56,189859777,4.53353,0.01786
2016-08-05,2016-08-09,0,4.48,4.47,4.48,4.44,4.5,181341468,812632724,4.48122943,4.48,4.47,4.48,4.44,4.5,181341468,4.48123,0.01587
